title,sentiment,avg_rating,movieId,review_count,preview_reviews
Airheads (1994),neg,2.7884615384615383,413,26,"There is NOTHING cool, hip, or clever about this film-- liking it just reveals an ignorance of true art cinema. How can you so easily forget that the central fact of this entire film is that these mean & ugly people are . . . SERIAL KILLERS! If they have to dismember total strangers in order to ""be "
Aladdin (1992),pos,3.7923497267759565,588,366,Although time has revealed how some of the effects were done this story of love and adventure still is special.<br /><br />If you've never seen this film before you'll be shocked at how much has been stolen by later film makers. I was watching this with a friend who was amazed at how much Disney's A
Alien (1979),neg,3.969178082191781,1214,438,I'm a big fan of the TV series Largo Winch. This movie was pain for me. I had to use fast forward not to fell to sleep. It was boring! How can somebody ruin this title so much? The story was the only good thing. Actors were sh.t. They can't live the role. The main actor(Tom ... ) is a null. Watch th
Alien (1979),pos,3.969178082191781,1214,438,"This is a gem of a movie not just for people who like fun and quirky premises, but who love the history and traditions of Sci-Fi and Classic Hollywood movies. Each alien of the Martian crew is the embodiment of a classic Sci-Fi character or member of Hollywood royalty and it's pure pleasure watching"
Aliens (1986),neg,3.9642857142857144,1200,126,"I saw this movie when i was much younger and i thought it was funny. I saw it again last week, and you can guess the result. Some funny parts in it, very few and too long. The beginning is the only thing that is funny if you ask me.<br /><br />If you want a total b-movie this is a good pick, but don"
Amateur (1994),neg,2.0,149,323,"This movie is just so awful. So bad that I can't bear to expend anything other than just a few words. Avoid this movie at all costs, it is terrible.<br /><br />None of the details of the crimes are re-enacted correctly. Lots of slaughterhouse footage. Weird cuts and edits. No continuity to the plot."
Amateur (1994),pos,2.0,149,59,"As a fan of looking further into the phenomenon that is school shootings, this film took an interesting and different approach to the idea. Presented as a series of video recordings made by the two troubled men (I cannot refer to persons who kill as boys or teens), the months of preparation leading "
Andre (1994),neg,2.125,577,276,"I confess--Emma, in my opinion, is the single greatest novel ever written. It is as close to perfection as any mortal creation can be. Jane Austen reaches the pinnacle of her art here.<br /><br />Unfortunately, this is at best a palimpsest.<br /><br />Comparison to the Gwyneth Paltrow version is ine"
Andre (1994),pos,2.125,577,388,"You like to solve mysteries? You like complex narrations? This is for you. Brilliant, clever movie by Francis Leclerc(son of a legendary french Canadian signer Felix Leclerc). Flashy photo and clever editing is the word of Leclerc, strongly helped by Roy Dupuis who's dythirambic in the lead role.<br"
Another Stakeout (1993),pos,2.53125,415,16,"Preston Waters is off to a bad summer. Besides his birthday coming up, nothing else looks promising.<br /><br />First he has to share his own room with his brothers who are going to run a business. They can't do it in their rooms because they don't have enough space. Off to a birthday party he only "
Apollo 13 (1995),neg,3.845771144278607,150,1005,"I'm not going to bag this film for all the myriad technical f|u|c|k|u|p|s, it would take two days to outline how the whole thing isn't even remotely possible. Others have pointed out all the relevant stupidities already.<br /><br />Given all that, I still could have sort of enjoyed it, if only they "
Apollo 13 (1995),pos,3.845771144278607,150,201,"Let me set the scene. It is the school holidays and there is absolutely nothing at the movies. I am with my friend deciding what to see. We look for a movie that is starting soon and ""The Grinch"" comes up. We buy tickets not knowing what to expect. What we got was a roller coaster of fun.<br /><br /"
Assassins (1995),neg,3.125,23,240,"The movie deserves 2/10. 1.5 stars for the girl, (I'm sorry I'm biased, i think pretty girl is the only highlight of the movies), and 0.5 for the fact that it is shorter than Azumi 1. I watched Azumi 1 and 2 in 1 seating. I amazed myself being able to sit through it. <br /><br />Lets talk about the "
Assassins (1995),pos,3.125,23,80,"Red Eye, a movie that id had wanted to see for awhile...Cillian Murphy plays Jack Ripner (jack the ripper) a managerial pose to Assassins, and his literally killer plan to knock off a highly profiled man and his family.<br /><br />An everyday woman ""Lisa"" (I think) is a normal woman, goes to work, h"
Babe (1995),neg,3.65234375,34,8576,"I've seen (far too) many flicks from this company - this one is about middle of the pack. One the good side, its a bit more stylized and under control than some of their fare - less of the sophomoric attempts at humor and more adherence to story (for what its worth). Many of their titles, like Sexy "
Babe (1995),pos,3.65234375,34,7424,"This is a cute little horror spoof/comedy featuring Cassandra Peterson aka Elvira: Mistress of the Dark, the most infamous horror hostess of all time. This was meant to be the pilot vehicle for Elvira and was so successful that it was picked up by the NBC Network. They filmed a pilot for a televisio"
Backbeat (1993),pos,3.5,346,12,"Even though I'm quite young, The Beatles are my ABSOLUTELY FAVOURITE band! I never had the chance to hear their music as it was releases but have loved them since I can remember.<br /><br />It's the sort of film that is worth trying the once. I can see why it wasn't released in the cinema but it is "
